community,household,biophysical,isOwner,income1,income2,income3,income4,income5,lotsize,years,parentsOwned,grandparentsOwned,greatgrandparentsOwned,totalRiverineHoldings,totalUplandHoldings,totalHoldings,totalRoca,percentRoca,totalQuintais,percentQuintais,totalCapoeira,percentCapoeira,totalMata,percentMata,totalAcai,kgPerHaAcai,acaiSold,acaiBuyer,personsRural,linkedHHs
Paricatuba,65,Riverine,1,1,4,99,99,99,3,3,1,1,2,3,0,3,0,0,1,33,2,67,0,0,6750,2250,5550,5,3,0
Paricatuba,66,Riverine,2,1,3,4,99,99,3,1,2,2,2,3,0,3,0,0,1,33,2,67,0,0,6750,2250,5700,5,6,0
Paricatuba,67,Riverine,1,1,3,5,3,4,2,36,1,1,1,2,0,2,0,0,1,50,1,50,0,0,4500,2250,3000,1,8,4
Paricatuba,68,Riverine,1,1,3,5,99,99,10,3,2,2,2,10,0,10,0,0,1,10,9,90,0,0,19500,1950,15000,5,4,2
Paricatuba,69,Riverine,2,1,5,3,7,4,3,8,1,1,1,3,0,3,0,0,1,33,2,67,0,0,6750,2250,4500,1,5,3
Paricatuba,70,Riverine,1,1,3,4,5,99,7,11,2,1,2,7,0,7,0,0,1,14,6,86,0,0,10500,1500,8550,5,4,2
Paricatuba,71,Riverine,2,1,99,99,99,99,5,1,2,2,2,5,0,5,0,0,1,20,4,80,0,0,9000,1800,6750,5,6,4
Paricatuba,72,Riverine,2,1,99,99,99,99,3,2,1,1,2,3,0,3,0,0,1,33,2,67,0,0,6000,2000,4500,2,4,3
Paricatuba,73,Riverine,1,1,5,8,4,99,4,59,1,1,1,3,1,4,0,0,1,25,3,75,0,0,6750,2250,4500,1,5,4
Paricatuba,74,Riverine,1,1,5,3,99,99,25,31,2,2,2,11,14,25,0,0,1,4,24,96,0,0,18000,1636,15000,5,2,4
Jagarajó,75,Upland,1,3,2,99,99,99,5,53,1,2,2,5,1,6,1,17,5,83,0,0,0,0,1500,300,99,99,2,2
Jagarajó,76,Upland,1,3,2,99,99,99,74.25,14,2,2,2,1,74,75,1,1,73,97,0,0,1,1.333333333,5250,5250,99,99,1,1
Jagarajó,77,Upland,1,2,8,99,99,99,3,3,2,2,2,0,3,3,1,33,2,67,0,0,0,0,300,,99,99,5,4
Jagarajó,78,Upland,2,2,3,99,99,99,2,33,2,2,2,0,2,2,0,0,2,100,0,0,0,0,0,,99,99,2,4
Jagarajó,79,Upland,1,3,6,6,2,99,0.3,41,2,2,2,0,0,0,0,,0,,0,,0,,0,,99,99,6,3
Jagarajó,80,Upland,2,3,99,99,99,99,3.5,77,2,2,2,0,3,3,0,0,3,100,0,0,0,0,750,,99,99,1,3
Jagarajó,81,Upland,1,3,99,99,99,99,0.35,46,1,2,2,0,0,0,0,,0,,0,,0,,0,,99,99,4,1
Jagarajó,82,Upland,2,4,2,99,99,99,7.5,12,2,2,2,0,0,0,0,,0,,0,,0,,0,,99,99,4,4
Jagarajó,83,Upland,2,2,4,99,99,99,6,31,1,2,2,0,0,0,0,,0,,0,,0,,6000,,5700,1,8,3
Jagarajó,84,Upland,1,4,2,99,99,99,0.16,9,1,2,2,0,1,1,0,0,1,100,0,0,0,0,0,,99,99,4,3
Jagarajó,85,Upland,2,7,99,99,99,99,0.3,11,2,2,2,0,0,0,0,,0,,0,,0,,0,,99,99,2,3
Jagarajó,86,Upland,2,7,2,99,99,99,0.5,4,1,2,2,0,0,0,0,,0,,0,,0,,3000,,2250,1,7,5
Jagarajó,87,Upland,1,2,4,99,99,99,1.25,10,2,2,2,0,1,1,0,0,1,100,0,0,0,0,0,,99,99,5,1
Jagarajó,88,Upland,1,3,1,99,99,99,17,17,2,2,2,17,0,17,0,0,17,100,0,0,0,0,10500,618,3000,1,7,2
Jagarajó,89,Upland,2,7,4,2,99,99,1,3,2,2,2,0,1,1,0,0,1,100,0,0,0,0,0,,99,99,4,5
Jagarajó,90,Upland,2,4,2,99,99,99,1,4,1,2,2,3,0,3,0,0,0,0,0,0,3,100,4500,1500,3750,1,4,4
Jagarajó,91,Upland,2,2,99,99,99,99,2,10,1,1,1,0,2,2,0,0,2,100,0,0,0,0,0,,99,99,5,1
Jagarajó,92,Upland,2,2,99,99,99,99,1,4,1,2,2,0,1,1,0,0,1,100,0,0,0,0,0,,99,99,4,3
Jagarajó,93,Upland,1,3,5,99,99,99,2,63,2,2,2,0,2,2,1,50,1,50,0,0,0,0,0,,99,99,7,3
Jagarajó,94,Upland,1,5,99,99,99,99,0.12,22,2,2,2,0,0,0,0,,0,,0,,0,,0,,99,99,9,2
Jagarajó,95,Upland,1,3,6,99,99,99,0.3,63,1,1,1,0,0,0,0,,0,,0,,0,,0,,99,99,7,5
Jagarajó,96,Upland,1,2,4,99,99,99,0.75,36,1,1,1,0,4,4,0,0,4,100,0,0,0,0,3750,,750,1,11,1
Jagarajó,97,Upland,1,2,5,4,99,99,2,31,2,2,2,4,3,7,1,14,2,29,0,0,4,57.14285714,0,0,99,99,12,2
Jagarajó,98,Upland,2,4,2,99,99,99,1.5,19,2,2,2,0,1,1,0,0,1,100,0,0,0,0,0,,99,99,11,0
Jagarajó,99,Upland,1,8,6,6,99,99,0.75,8,2,2,2,1,0,1,0,0,0,0,1,100,0,0,4500,4500,3000,1,2,6
Jagarajó,100,Upland,2,2,7,4,99,99,0.3,22,2,2,2,3,2,5,2,40,0,0,0,0,3,60,3000,1000,1500,1,9,1
Jagarajó,101,Upland,1,2,2,99,99,99,0.25,6,2,2,2,0,0,0,0,,0,,0,,0,,0,,99,99,3,5
Jagarajó,102,Upland,1,3,2,99,99,99,6.25,51,1,2,2,0,6,6,0,0,6,100,0,0,0,0,0,,99,99,9,2
Jagarajó,103,Upland,2,2,99,99,99,99,1.5,8,2,2,2,0,1,1,1,100,0,0,0,0,0,0,0,,99,99,5,2
Jagarajó,104,Upland,1,3,8,2,99,99,0.3,29,2,2,2,0,2,2,2,100,0,0,0,0,0,0,4500,,3000,1,11,3
Jagarajó,105,Upland,1,3,6,99,99,99,0.55,41,2,2,2,0,0,0,0,,0,,0,,0,,0,,99,99,6,2
Jagarajó,106,Upland,2,4,2,99,99,99,0.5,9,2,2,2,0,0,0,0,,0,,0,,0,,0,,99,99,8,1
Jagarajó,107,Upland,2,7,4,2,99,99,0.15,22,2,2,2,0,1,1,1,100,0,0,0,0,0,0,0,,99,99,10,2
Jagarajó,108,Upland,1,2,99,99,99,99,2.5,1,2,2,2,0,2,2,2,100,0,0,0,0,0,0,7500,,6000,1,2,6
Jagarajó,109,Upland,1,4,2,99,99,99,0.5,10,2,2,2,0,1,1,1,100,0,0,0,0,0,0,0,,99,99,5,3
Jagarajó,110,Upland,1,3,6,8,99,99,0.36,21,2,2,2,0,0,0,0,,0,,0,,0,,0,,99,99,5,4
Jagarajó,111,Upland,1,4,6,99,99,99,0.06,8,2,2,2,0,0,0,0,,0,,0,,0,,0,,99,99,6,3
Jagarajó,112,Upland,1,6,99,99,99,99,0.5,17,1,1,2,0,0,0,0,,0,,0,,0,,0,,99,99,3,5
Jagarajó,113,Upland,2,2,4,99,99,99,0.1,17,1,1,1,0,0,0,0,,0,,0,,0,,0,,99,99,7,1
Jagarajó,114,Upland,1,6,4,99,99,99,0.3,11,2,2,2,0,0,0,0,,0,,0,,0,,0,,99,99,4,3
Jagarajó,115,Upland,1,4,5,99,99,99,5,57,1,1,1,0,5,5,0,0,5,100,0,0,0,0,0,,99,99,4,2
Jagarajó,116,Upland,1,6,2,99,99,99,0.4,8,2,2,2,1,0,1,0,0,0,0,1,100,0,0,1500,1500,600,1,3,1
Jagarajó,117,Upland,1,3,2,99,99,99,0.5,36,2,2,2,0,0,0,0,,0,,0,,0,,0,,99,99,3,2
Jagarajó,118,Upland,2,5,3,99,99,99,99,87,2,2,2,0,0,0,0,,0,,0,,0,,0,,99,99,5,1
Jagarajó,119,Upland,1,2,5,99,99,99,0.25,6,1,1,1,0,0,0,0,,0,,0,,0,,0,,99,99,4,1
Jagarajó,120,Upland,1,3,99,99,99,99,0.25,6,1,1,1,0,0,0,0,,0,,0,,0,,0,,99,99,2,1
Jagarajó,121,Upland,1,3,2,99,99,99,2,31,2,2,2,2,3,5,1,20,2,40,2,40,0,0,7500,3750,4500,1,2,2
Jagarajó,122,Upland,1,4,99,99,99,99,3.25,12,1,2,2,0,3,3,0,0,3,100,0,0,0,0,0,,99,99,7,0
Jagarajó,123,Upland,2,5,99,99,99,99,0.03,21,1,2,2,0,0,0,0,,0,,0,,0,,0,,99,99,5,0
Jagarajó,124,Upland,1,7,7,2,99,99,1,11,2,2,2,0,1,1,0,0,1,100,0,0,0,0,0,,99,99,5,1
Jagarajó,125,Upland,2,2,4,99,99,99,4,5,2,2,2,0,4,4,0,0,4,100,0,0,0,0,0,,99,99,3,1
Jagarajó,126,Upland,1,3,1,99,99,99,2,21,1,1,1,1,0,1,0,0,0,0,0,0,1,100,3750,3750,750,1,4,1
Jagarajó,127,Upland,2,7,6,2,99,99,0.06,9,2,2,2,0,0,0,0,,0,,0,,0,,0,,99,99,4,1
Jagarajó,128,Upland,1,4,2,5,99,99,0.8,14,1,2,2,0,0,0,0,,0,,0,,0,,300,,99,1,8,3
Jagarajó,129,Upland,1,3,7,2,99,99,0.25,26,2,2,2,1,0,1,0,0,0,0,0,0,1,100,4500,4500,3000,1,5,1
Jagarajó,130,Upland,1,3,99,99,99,99,25,29,1,2,2,0,25,25,0,0,25,100,0,0,0,0,3000,,99,99,2,2
Jagarajó,131,Upland,1,3,99,99,99,99,0.25,7,2,2,2,0,0,0,0,,0,,0,,0,,0,,99,99,5,2
Benfica,132,Upland,1,7,5,99,99,99,0.25,21,2,2,2,0,0,0,0,,0,,0,,0,,1200,,99,99,8,8
Benfica,133,Upland,2,99,99,99,99,99,0.03,26,2,2,2,0,0,0,0,,0,,0,,0,,0,,99,99,5,8
Benfica,134,Upland,1,5,99,99,99,99,0.5,15,2,2,2,0,0,0,0,,0,,0,,0,,2250,,99,99,6,5
Benfica,135,Upland,1,4,7,5,99,99,0.01,7,2,1,2,0,0,0,0,,0,,0,,0,,1500,,99,99,2,5
Benfica,136,Upland,1,3,99,99,99,99,2,99,1,1,2,0,0,0,0,,0,,0,,0,,0,,99,99,2,5
Benfica,137,Upland,1,5,5,1,4,99,0.13,18,2,2,2,0,0,0,0,,0,,0,,0,,2250,,1500,1,8,2
Benfica,138,Upland,2,1,5,5,4,6,19,8,1,1,1,2,0,2,0,0,2,100,0,0,0,0,5250,2625,1800,1,5,3
Benfica,139,Upland,1,1,99,99,99,99,0.25,1,2,2,2,0,1,1,0,0,0,0,1,100,0,0,5250,,3300,1,3,4
Benfica,140,Upland,2,1,99,99,99,99,1,13,2,2,2,26,0,26,0,0,1,4,25,96,0,0,18000,692,13500,1,5,4
Benfica,141,Upland,2,1,4,99,99,99,0.3,6,2,2,2,0,0,0,0,,0,,0,,0,,0,,99,99,3,4
Benfica,142,Upland,1,7,1,99,99,99,1,33,2,2,2,3,0,3,0,0,1,33,0,0,2,66.66666667,4500,1500,750,1,5,1
Benfica,143,Upland,1,1,7,3,6,99,3,29,2,2,2,3,0,3,0,0,3,100,0,0,0,0,6000,2000,2550,1,3,2
São Pedro,144,Upland,2,1,5,99,99,99,0.5,5,2,2,2,0,0,0,0,,0,,0,,0,,2250,,1500,99,3,4
São Pedro,145,Upland,1,3,1,6,99,99,19,41,1,1,1,9,10,19,0,0,0,0,10,53,9,47.36842105,7500,833,4500,1,2,3
São Pedro,146,Upland,2,3,4,1,99,99,19,3,1,1,1,0,0,0,0,,0,,0,,0,,1050,,600,1,4,3
São Pedro,147,Upland,1,3,5,99,99,99,1,71,1,1,1,0,1,1,0,0,1,100,0,0,0,0,0,,99,99,2,1
São Pedro,148,Upland,1,3,1,99,99,99,1,24,2,2,2,1,0,1,0,0,0,0,1,100,0,0,4500,4500,3750,1,5,10
Marajó Açú,149,Riverine,1,1,3,5,4,99,1,29,1,1,1,10,0,10,0,0,1,10,6,60,3,30,18000,1800,14700,2,7,11
Marajó Açú,150,Riverine,1,1,3,5,99,99,6,14,2,2,2,6,0,6,0,0,1,17,5,83,0,0,12000,2000,9750,2,7,8
Marajó Açú,151,Riverine,1,1,5,99,99,99,9,9,1,2,2,9,0,9,0,0,1,11,8,89,0,0,19500,2167,18750,2,1,6
Marajó Açú,152,Riverine,2,3,5,1,4,2,6,10,2,2,2,6,0,6,0,0,1,17,5,83,0,0,13500,2250,11700,2,5,6
Marajó Açú,153,Riverine,2,1,5,99,99,99,10,4,2,2,2,10,0,10,0,0,2,20,8,80,0,0,19500,1950,18000,1,5,7
Marajó Açú,154,Riverine,2,8,1,5,99,99,1,17,1,2,2,1,0,1,0,0,1,100,0,0,0,0,2250,2250,1350,1,2,6
Marajó Açú,155,Riverine,2,1,4,99,99,99,8,16,2,2,2,8,0,8,0,0,1,13,7,88,0,0,19500,2438,18000,5,6,7
Marajó Açú,156,Riverine,2,1,3,4,5,99,9,15,2,2,2,10,0,10,0,0,1,10,6,60,3,30,15000,1500,13350,2,7,6
Marajó Açú,157,Riverine,1,3,1,5,99,99,1,43,1,2,2,1,0,1,0,0,1,100,0,0,0,0,3000,3000,750,5,5,6
Marajó Açú,158,Riverine,2,3,4,1,5,99,12,13,2,2,2,3,9,12,0,0,1,8,2,17,9,75,6300,2100,4650,1,8,4
Marajó Açú,159,Riverine,2,4,1,99,99,99,1,11,1,1,2,1,0,1,0,0,1,100,0,0,0,0,2250,2250,975,1,5,6
Marajó Açú,160,Riverine,2,3,4,1,5,99,1,9,2,2,2,1,0,1,0,0,1,100,0,0,0,0,4500,4500,3150,1,7,2
Marajó Açú,161,Riverine,1,3,3,1,4,5,7,60,1,1,2,3,4,7,0,0,1,14,2,29,4,57.14285714,6000,2000,4500,1,9,3
Marajó Açú,162,Riverine,2,3,1,3,4,5,6,42,2,2,2,5,1,6,0,0,1,17,5,83,0,0,12000,2400,7500,5,12,1
Marajó Açú,163,Riverine,2,8,1,99,99,99,1,12,1,1,2,1,0,1,0,0,1,100,0,0,0,0,2400,2400,1050,1,4,4
Marajó Açú,164,Riverine,1,1,3,4,5,99,5,18,1,2,2,5,0,5,0,0,1,20,4,80,0,0,10500,2100,8700,2,5,3
Marajó Açú,165,Riverine,1,3,1,4,5,99,2,4,1,2,2,2,0,2,0,0,1,50,1,50,0,0,3000,1500,1500,1,5,4
Marajó Açú,166,Riverine,2,7,4,1,99,99,1,8,2,1,2,1,0,1,0,0,1,100,0,0,0,0,2850,2850,1200,5,6,2
Marajó Açú,167,Riverine,1,1,5,99,99,99,10,3,1,2,2,5,4,9,0,0,1,11,4,44,4,44.44444444,10500,2100,9750,2,2,5
Marajó Açú,168,Riverine,1,7,1,5,99,99,12,31,2,2,2,7,5,12,0,0,1,8,11,92,0,0,15000,2143,10500,5,2,5
Marajó Açú,169,Riverine,2,1,3,4,5,99,6,2,2,2,2,6,0,6,0,0,1,17,5,83,0,0,9000,1500,7500,1,5,3
Marajó Açú,170,Riverine,1,4,1,5,99,99,1.5,4,2,2,2,0,0,0,0,,0,,0,,0,,3000,,1800,1,7,3
Marajó Açú,171,Riverine,2,3,1,5,99,99,4,25,2,2,2,4,0,4,0,0,1,25,3,75,0,0,12000,3000,10500,2,2,5
Marajó Açú,172,Riverine,2,3,1,4,5,99,6,5,2,2,2,6,0,6,0,0,1,17,5,83,0,0,13500,2250,10500,5,5,2
Marajó Açú,173,Riverine,1,3,1,5,99,99,5,99,2,2,2,5,0,5,0,0,1,20,4,80,0,0,12750,2550,12000,1,2,3
Marajó Açú,174,Riverine,2,1,5,99,99,99,6,5,2,1,2,1,0,1,0,0,1,100,0,0,0,0,13500,13500,13500,5,3,3
Marajó Açú,175,Riverine,2,1,3,4,99,99,12,20,1,1,2,11,1,12,0,0,1,8,11,92,0,0,22500,2045,18000,5,3,1
Marajó Açú,176,Riverine,2,1,4,5,99,99,8,2,2,2,2,8,0,8,0,0,1,13,7,88,0,0,16500,2063,15000,1,3,2
Marajó Açú,177,Riverine,2,1,5,4,99,99,10,13,1,2,2,10,0,10,0,0,1,10,9,90,0,0,22500,2250,18000,5,4,2
Marajó Açú,178,Riverine,1,1,3,4,99,99,5,34,2,2,2,5,0,5,0,0,1,20,4,80,0,0,12000,2400,7500,5,6,1
Marajó Açú,179,Riverine,2,8,1,5,99,99,1,5,1,1,2,1,0,1,0,0,1,100,0,0,0,0,2625,2625,1200,5,4,1
Marajó Açú,180,Riverine,2,1,3,5,99,99,5,35,2,2,2,4,0,4,0,0,1,25,3,75,0,0,11250,2813,11250,99,3,1
Marajó Açú,181,Riverine,2,3,4,1,5,99,1,8,2,2,2,1,0,1,0,0,1,100,0,0,0,0,2700,2700,1200,1,6,1
Marajó Açú,182,Riverine,2,1,3,5,99,99,4,1,2,2,2,4,0,4,0,0,1,25,3,75,0,0,9000,2250,6000,5,3,2
Marajó Açú,183,Riverine,2,3,1,4,5,99,10,4,2,2,2,10,0,10,0,0,1,10,9,90,0,0,21000,2100,18750,2,4,2
Marajó Açú,184,Riverine,2,1,5,4,99,99,3,8,1,2,2,3,0,3,0,0,1,33,2,67,0,0,6000,2000,4500,1,6,1
Marajó Açú,185,Riverine,2,6,4,5,99,99,8,58,1,2,2,8,0,8,0,0,1,13,7,88,0,0,16500,2063,15000,1,4,3
São Miguel,186,Riverine,1,3,1,4,5,99,8,32,2,2,2,6,4,10,0,0,1,10,5,50,4,40,14250,2375,12000,1,8,11
São Miguel,187,Riverine,2,3,1,99,99,99,10,13,2,2,2,10,0,10,0,0,1,10,9,90,0,0,19500,1950,14250,5,2,5
São Miguel,188,Riverine,1,3,1,5,99,99,7,65,2,2,2,7,0,7,0,0,1,14,6,86,0,0,15000,2143,9000,5,4,5
São Miguel,189,Riverine,2,1,5,4,99,99,1,99,2,2,2,1,0,1,0,0,1,100,0,0,0,0,10500,10500,9300,2,4,5
São Miguel,190,Riverine,2,7,1,4,99,99,5,15,1,1,2,3,2,5,0,0,1,20,4,80,0,0,6750,2250,5250,1,4,6
São Miguel,191,Riverine,1,1,3,3,5,99,28,79,1,1,1,11,17,28,0,0,1,4,27,96,0,0,15000,1364,12000,5,3,6
São Miguel,192,Riverine,1,3,1,5,99,99,7,58,1,2,2,7,0,7,0,0,1,14,6,86,0,0,15000,2143,13500,1,7,6
São Miguel,193,Riverine,1,3,1,5,99,99,4,38,2,2,2,4,0,4,0,0,1,25,3,75,0,0,12000,3000,11250,2,2,7
São Miguel,194,Riverine,1,1,5,4,99,99,4,13,2,2,2,17,0,17,0,0,1,6,16,94,0,0,12750,750,11400,1,5,3
São Miguel,195,Riverine,2,3,1,5,99,99,13,99,2,2,2,7,0,7,0,0,1,14,6,86,0,0,13050,1864,12000,2,3,4
São Miguel,196,Riverine,2,3,3,1,4,5,3,26,1,1,2,2,1,3,0,0,1,33,2,67,0,0,2250,1125,1950,1,7,4
São Miguel,197,Riverine,1,1,3,4,99,99,5,15,2,1,2,3,2,5,0,0,3,60,2,40,0,0,7500,2500,4500,5,8,4
São Miguel,198,Riverine,2,8,1,5,99,99,2,4,2,2,2,2,0,2,0,0,1,50,1,50,0,0,3450,1725,1800,1,7,4
São Miguel,199,Riverine,1,1,4,99,99,99,3,12,1,2,2,3,0,3,0,0,1,33,2,67,0,0,7500,2500,5250,5,5,4
São Miguel,200,Riverine,2,1,5,4,99,99,6,99,1,1,1,6,0,6,0,0,1,17,4,67,1,16.66666667,10500,1750,8550,1,4,4
São Miguel,201,Riverine,2,3,1,4,5,99,12,18,2,2,2,12,0,12,0,0,1,8,11,92,0,0,19500,1625,45,2,6,4
São Miguel,202,Riverine,2,3,1,5,99,99,4,29,1,2,2,3,1,4,0,0,1,25,3,75,0,0,7500,2500,4500,5,3,4
São Miguel,203,Riverine,2,1,5,99,99,99,5,15,1,1,2,5,0,5,0,0,1,20,4,80,0,0,10500,2100,7500,5,4,4
São Miguel,204,Riverine,1,7,1,5,99,99,4,7,1,2,2,4,0,4,0,0,1,25,3,75,0,0,9000,2250,6000,5,2,4
São Miguel,205,Riverine,2,5,1,3,99,99,3,9,2,2,2,3,0,3,0,0,1,33,2,67,0,0,7500,2500,5250,5,2,2
São Miguel,206,Riverine,2,1,5,4,99,99,15,2,2,2,2,15,0,15,0,0,1,7,14,93,0,0,21000,1400,19500,2,3,3
Antônio Vieira,207,Upland,1,3,7,99,99,99,1,8,1,1,1,0,1,1,0,0,1,100,0,0,0,0,0,,99,99,3,1
Antônio Vieira,208,Upland,1,5,2,2,99,99,1,6,1,1,1,0,2,2,1,50,1,50,0,0,0,0,0,,99,99,5,1
Antônio Vieira,209,Upland,1,3,7,99,99,99,4,22,1,2,2,0,4,4,0,0,4,100,0,0,0,0,0,,99,99,3,4
Antônio Vieira,210,Upland,1,4,2,2,2,2,2,21,1,1,1,0,4,4,1,25,3,75,0,0,0,0,0,,99,99,7,1
Antônio Vieira,211,Upland,1,4,5,99,99,99,0.4,11,2,2,2,0,0.4,0.4,0,0,0.4,100,0,0,0,0,0,,99,99,4,0
Antônio Vieira,212,Upland,1,3,6,2,2,99,0.25,51,2,2,2,0,0.25,0.25,0,0,0.25,100,0,0,0,0,0,,99,99,5,6
Antônio Vieira,213,Upland,1,3,2,2,99,99,0.5,51,2,2,2,0,0.5,0.5,0,0,0.5,100,0,0,0,0,0,,99,99,2,1
Antônio Vieira,214,Upland,1,3,2,99,99,99,35,71,1,1,1,0,35,35,0,0,35,100,0,0,0,0,0,,99,99,2,1
Antônio Vieira,215,Upland,1,3,2,99,99,99,1,7,1,1,1,0,1,1,0,0,1,100,0,0,0,0,0,,99,99,1,1
Antônio Vieira,216,Upland,1,3,7,2,2,99,47,83,1,1,1,0,47,47,0,0,47,100,0,0,0,0,0,,99,99,2,1
Antônio Vieira,217,Upland,1,3,2,2,99,99,16,21,2,2,2,0,16,16,0,0,16,100,0,0,0,0,0,,99,99,1,1
Antônio Vieira,218,Upland,1,2,7,2,99,99,1,16,1,1,1,0,1,1,0,0,1,100,0,0,0,0,135,,99,99,8,1
Antônio Vieira,219,Upland,1,7,99,99,99,99,0.32,2,2,2,2,0,0.32,0.32,0,0,0.32,100,0,0,0,0,0,,99,99,3,4
